name,latin_name,hindi_name,preview,rasa,guna,virya,vipaka,prabhava,pacify_dosha,aggravate_dosha,tridosha,category,therapeutic_uses,contraindications,source_url,pacify_vata,pacify_pitta,pacify_kapha,aggravate_vata,aggravate_pitta,aggravate_kapha
Kakatikta,,,"Luffa amara, a wild variety of Luffa, is a potent liver stimulant and purgative.",Tikta,"Laghu, Tikshna",Ushna,Katu,"Yakrituttejaka, Virechana","Pitta, Kapha",Vata,False,"Hepatoprotective, Purgative","Hepatoprotective; Luffa amara, a wild variety of Luffa, is a potent liver stimulant and purgative.; Purgative","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kakatikta.html,0,1,1,1,0,0
Kadara,,,"Acacia suma, a variety of Khadira, is used for its potent effects on skin diseases.","Kashaya, Tikta","Laghu, Ruksha",Sheeta,Katu,"Kushtaghna, Raktashodhak","Pitta, Kapha",Vata,False,"Blood Purification, Dermatological","Acacia suma, a variety of Khadira, is used for its potent effects on skin diseases.; Blood Purification; Dermatological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kadara.html,0,1,1,1,0,0
Jalavetasa,,,Salix tetrasperma is an anti-inflammatory and analgesic herb used for pain and swelling.,Tikta,Laghu,Sheeta,Katu,"Shothahara, Vedanasthapana","Pitta, Kapha",Vata,False,"Analgesic, Anti-inflammatory",Analgesic; Anti-inflammatory; Salix tetrasperma is an anti-inflammatory and analgesic herb used for pain and swelling.,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/jalavetasa.html,0,1,1,1,0,0
Hijal,,,Barringtonia acutangula is an astringent used for treating diarrhea and bleeding disorders.,"Kashaya, Katu","Laghu, Ruksha",Sheeta,Katu,"Grahi, Raktastambhana","Pitta, Kapha",Vata,False,Digestive,Barringtonia acutangula is an astringent used for treating diarrhea and bleeding disorders.; Digestive,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/hijal.html,0,1,1,1,0,0
Hastikarna Palasha,,,"Leea macrophylla is used for its anti-inflammatory and diuretic properties, especially in filariasis.",Kashaya,"Laghu, Ruksha",Ushna,Katu,"Shothahara, Krimighna","Kapha, Vata",Pitta,False,"Anti-inflammatory, Anti-parasitic","Anti-inflammatory; Anti-parasitic; Leea macrophylla is used for its anti-inflammatory and diuretic properties, especially in filariasis.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/hastikarna-palasha.html,1,0,1,0,1,0
Dhanyamla,,,"A fermented liquid prepared from grains, used in a specialized therapy (Dhanyamla Dhara) for Vata disorders and inflammation.",Amla,"Laghu, Tikshna",Ushna,Amla,"Vatahara, Shothahara, Deepana","Vata, Kapha",Pitta,False,"Anti-inflammatory, Digestive","A fermented liquid prepared from grains, used in a specialized therapy (Dhanyamla Dhara) for Vata disorders and inflammation.; Anti-inflammatory; Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/dhanyamla.html,1,0,1,0,1,0
Dhattura Beeja,,,"The seeds of Dhattura are more potent than the leaves, used after purification for severe asthma and pain.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Shwasahara, Vedanasthapana","Kapha, Vata",Pitta,False,"Analgesic, Respiratory","Analgesic; Respiratory; The seeds of Dhattura are more potent than the leaves, used after purification for severe asthma and pain.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/dhattura-beeja.html,1,0,1,0,1,0
Chitraka Moola,,,"The root of Chitrak is the most potent part, a powerful digestive stimulant that must be used with care.",Katu,"Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Arshoghna","Kapha, Vata",Pitta,False,Digestive,"Digestive; The root of Chitrak is the most potent part, a powerful digestive stimulant that must be used with care.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/chitraka-moola.html,1,0,1,0,1,0
Changeri Ghrita,,,"Medicated ghee of Changeri is a specific remedy for digestive disorders like IBS, bloating, and prolapse.","Amla, Kashaya","Laghu, Snigdha",Ushna,Amla,"Grahi, Deepana","Vata, Kapha",Pitta,False,Digestive,"Digestive; Medicated ghee of Changeri is a specific remedy for digestive disorders like IBS, bloating, and prolapse.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/changeri-ghrita.html,1,0,1,0,1,0
Bhringaraja Svarasa,,,The fresh juice of Bhringraj is a potent liver tonic and is used in Nasya therapy for hair and sensory organ health.,"Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Yakrituttejaka, Keshya","Vata, Pitta",Kapha,False,Hepatoprotective,Hepatoprotective; The fresh juice of Bhringraj is a potent liver tonic and is used in Nasya therapy for hair and sensory organ health.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/bhringaraja-Svarasa.html,1,1,0,0,0,1
Bhallataka Taila,,,Oil of purified Bhallataka is used externally for Vata disorders like arthritis and sciatica.,"Katu, Tikta","Snigdha, Tikshna",Ushna,Madhura,"Vatahara, Shothahara","Vata, Kapha",Pitta,False,Anti-inflammatory,Anti-inflammatory; Oil of purified Bhallataka is used externally for Vata disorders like arthritis and sciatica.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/bhallataka-taila.html,1,0,1,0,1,0
Arka Pushpa,,,"The flower of Arka is used for its digestive and respiratory benefits, considered less potent than the latex.","Tikta, Katu",Laghu,Ushna,Katu,"Deepana, Kasahara","Vata, Kapha",Pitta,False,"Digestive, Respiratory","Digestive; Respiratory; The flower of Arka is used for its digestive and respiratory benefits, considered less potent than the latex.","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/arka-pushpa.html,1,0,1,0,1,0
Ambasthaki,,,Hibiscus sabdariffa is used as a cooling diuretic and a heart-healthy tonic.,"Amla, Madhura",Laghu,Sheeta,Amla,"Hridaya, Mutrala",Pitta,"Vata, Kapha",False,"Cardiac, Urinary",Cardiac; Hibiscus sabdariffa is used as a cooling diuretic and a heart-healthy tonic.; Urinary,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/ambasthaki.html,0,1,0,1,0,1
Agnijara,,,Salvia plebeia is a diuretic and anti-inflammatory herb used in urinary and digestive complaints.,"Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Mutrala, Deepana","Kapha, Vata",Pitta,False,"Digestive, Urinary",Digestive; Salvia plebeia is a diuretic and anti-inflammatory herb used in urinary and digestive complaints.; Urinary,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/agnijara.html,1,0,1,0,1,0
Kharbhuja,,,"Musk melon is a cooling, diuretic fruit that effectively pacifies Pitta and relieves fatigue.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Mutrala, Balya",Pitta,"Vata, Kapha",False,"Strengthening, Urinary","Musk melon is a cooling, diuretic fruit that effectively pacifies Pitta and relieves fatigue.; Strengthening; Urinary","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kharbhuja.html,0,1,0,1,0,1
Shrigataka,,,"Water Chestnut (Singhara) is a nourishing, cooling, and aphrodisiac food, useful in bleeding disorders.","Madhura, Kashaya","Guru, Snigdha",Sheeta,Madhura,"Vrishya, Grahi, Raktapittahara",Pitta,"Vata, Kapha",False,"Digestive, Reproductive","Digestive; Reproductive; Water Chestnut (Singhara) is a nourishing, cooling, and aphrodisiac food, useful in bleeding disorders.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/shrigataka.html,0,1,0,1,0,1
Tala,,,"The Palmyra Palm fruit is a cooling, nourishing tonic that pacifies Pitta and enhances strength.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Balya, Brimhaniya","Vata, Pitta",Kapha,False,"Nutritive, Strengthening","Nutritive; Strengthening; The Palmyra Palm fruit is a cooling, nourishing tonic that pacifies Pitta and enhances strength.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/tala.html,1,1,0,0,0,1
Tilaparni,,,Gynandropsis pentaphylla is a stimulating herb used for digestive issues and to relieve pain.,Katu,"Laghu, Tikshna",Ushna,Katu,"Deepana, Shoolaghna","Vata, Kapha",Pitta,False,"Analgesic, Digestive",Analgesic; Digestive; Gynandropsis pentaphylla is a stimulating herb used for digestive issues and to relieve pain.,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/tilaparni.html,1,0,1,0,1,0
Varshabhu,,,"Trianthema portulacastrum, a variety of Punarnava, is a potent diuretic and anti-inflammatory.","Tikta, Kashaya","Laghu, Ruksha",Sheeta,Katu,"Mutrala, Shothahara","Pitta, Kapha",Vata,False,"Anti-inflammatory, Urinary","Anti-inflammatory; Trianthema portulacastrum, a variety of Punarnava, is a potent diuretic and anti-inflammatory.; Urinary","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/varshabhu.html,0,1,1,1,0,0
Jahar Mohra Pishti,,,"Processed Serpentine stone is a cooling, Pitta-pacifying remedy used for digestive issues and as an anti-toxic.",Madhura,Ruksha,Sheeta,Madhura,"Amlapittahara, Vishaghna, Hridaya",Pitta,"Vata, Kapha",False,"Anti-toxic, Cardiac","Anti-toxic; Cardiac; Processed Serpentine stone is a cooling, Pitta-pacifying remedy used for digestive issues and as an anti-toxic.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/jahar-mohra-pishti.html,0,1,0,1,0,1
Akika Pishti,,,"Processed Agate gem is a potent cardiotonic and Pitta pacifier, used for heart health and bleeding disorders.",Madhura,Ruksha,Sheeta,Madhura,"Hridaya, Raktastambhana",Pitta,"Vata, Kapha",False,Cardiac,"Cardiac; Processed Agate gem is a potent cardiotonic and Pitta pacifier, used for heart health and bleeding disorders.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/akika-pishti.html,0,1,0,1,0,1
Triphala Churna,,,"The classic blend of Amla, Haritaki, & Bibhitaki. A tridoshic rasayana that cleanses the colon and supports overall health.","Kashaya, Amla, Katu, Tikta, Madhura","Laghu, Ruksha",Sheeta,Madhura,"rasayan, Chakshushya, Virechana",tridosha,,True,"Ophthalmological, Purgative, Rejuvenation","Ophthalmological; Purgative; Rejuvenation; The classic blend of Amla, Haritaki, & Bibhitaki. A tridoshic rasayana that cleanses the colon and supports overall health.","Use with caution in Kapha aggravation, cold conditions, low digestive fire; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/triphala-churna.html,1,1,1,0,0,0
Trikatu Churna,,,"A blend of Shunthi, Pippali, and Maricha. A powerful digestive stimulant that burns ama and pacifies Kapha.",Katu,"Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Lekhana","Kapha, Vata",Pitta,False,"Digestive, Metabolic","A blend of Shunthi, Pippali, and Maricha. A powerful digestive stimulant that burns ama and pacifies Kapha.; Digestive; Metabolic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/trikatu-churna.html,1,0,1,0,1,0
Sitopaladi Churna,,,"A famous formulation for respiratory issues, especially cough and cold, with a cooling and expectorant action.",Madhura,Laghu,Sheeta,Madhura,"Kasahara, Shwasahara","Pitta, Kapha",Vata,False,Respiratory,"A famous formulation for respiratory issues, especially cough and cold, with a cooling and expectorant action.; Respiratory","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/sitopaladi-churna.html,0,1,1,1,0,0
Avipattikar Churna,,,"A classical remedy for hyperacidity, heartburn, and other Pitta-related digestive issues.","Tikta, Madhura",Laghu,Sheeta,Madhura,"Amlapittahara, Virechana",Pitta,Vata,False,Purgative,"A classical remedy for hyperacidity, heartburn, and other Pitta-related digestive issues.; Purgative","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/avipattikar-churna.html,0,1,0,1,0,0
Hingvashtak Churna,,,"A premier carminative formula for Vata digestive issues like gas, bloating, and abdominal pain.","Katu, Lavana","Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Vatanulomana","Vata, Kapha",Pitta,False,Digestive,"A premier carminative formula for Vata digestive issues like gas, bloating, and abdominal pain.; Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/hingvashtak-churna.html,1,0,1,0,1,0
Lavan Bhaskar Churna,,,"A salt-based digestive stimulant used for loss of appetite, indigestion, and constipation.","Lavana, Katu","Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Virechana","Vata, Kapha",Pitta,False,"Digestive, Purgative","A salt-based digestive stimulant used for loss of appetite, indigestion, and constipation.; Digestive; Purgative","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/lavan-bhaskar-churna.html,1,0,1,0,1,0
Dashamularishta,,,"A fermented tonic of ten roots (Dashamoola), used as a general health tonic, especially post-delivery and for Vata disorders.","Kashaya, Madhura",Guru,Ushna,Madhura,"Balya, Vatahara, rasayan",Vata,Pitta,False,"Rejuvenation, Strengthening","A fermented tonic of ten roots (Dashamoola), used as a general health tonic, especially post-delivery and for Vata disorders.; Rejuvenation; Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/dashamularishta.html,1,0,0,0,1,0
Chyawanprash,,,"A famous rejuvenative jam with Amla as its base. It boosts immunity, strengthens the respiratory system, and enhances vitality.","Amla, Madhura, Kashaya","Guru, Snigdha",Ushna,Madhura,"rasayan, Balya, Kasahara","Vata, Kapha",Pitta,False,"Rejuvenation, Respiratory, Strengthening","A famous rejuvenative jam with Amla as its base. It boosts immunity, strengthens the respiratory system, and enhances vitality.; Rejuvenation; Respiratory; Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/chyawanprash.html,1,0,1,0,1,0
Chandraprabha Vati,,,"A classical tablet used for a wide range of urinary, reproductive, and metabolic disorders. It is a potent detoxifier.","Tikta, Katu",Laghu,Ushna,Katu,"Pramehaghna, Mutrala, Lekhana","Kapha, Vata",Pitta,False,"Metabolic, Urinary","A classical tablet used for a wide range of urinary, reproductive, and metabolic disorders. It is a potent detoxifier.; Metabolic; Urinary","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/chandraprabha-vati.html,1,0,1,0,1,0
Arogyavardhini Vati,,,"'The enhancer of good health', this tablet is a powerful liver tonic and is used for a wide range of chronic diseases.","Tikta, Kashaya","Laghu, Ruksha",Ushna,Katu,"Yakrituttejaka, Deepana, Kushtaghna",tridosha,,True,"Dermatological, Digestive, Hepatoprotective","'The enhancer of good health', this tablet is a powerful liver tonic and is used for a wide range of chronic diseases.; Dermatological; Digestive; Hepatoprotective","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/arogyavardhini-vati.html,1,1,1,0,0,0
Sanjivani Vati,,,"'The one that infuses life', this formulation is used to burn ama (toxins) and treat fever, cold, and digestive upsets.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Amapachana, Jwaraghna, Vishaghna","Vata, Kapha",Pitta,False,"Anti-pyretic, Anti-toxic","'The one that infuses life', this formulation is used to burn ama (toxins) and treat fever, cold, and digestive upsets.; Anti-pyretic; Anti-toxic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/sanjivani-vati.html,1,0,1,0,1,0
Gandhak rasayan,,,"A formulation of purified sulfur, it is a potent medicine for skin diseases, allergies, and blood purification.",Madhura,Snigdha,Sheeta,Madhura,"rasayan, Kushtaghna, Raktashodhak","Pitta, Kapha",Vata,False,"Blood Purification, Dermatological, Rejuvenation","A formulation of purified sulfur, it is a potent medicine for skin diseases, allergies, and blood purification.; Blood Purification; Dermatological; Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/gandhak-rasayan.html,0,1,1,1,0,0
Kaishore Guggul,,,"A Guggulu preparation for balancing Pitta and Vata, used for gout, arthritis, and skin diseases.","Tikta, Kashaya",Laghu,Ushna,Katu,"Raktashodhak, Vatahara, Kushtaghna","Pitta, Vata",Kapha,False,"Blood Purification, Dermatological","A Guggulu preparation for balancing Pitta and Vata, used for gout, arthritis, and skin diseases.; Blood Purification; Dermatological","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kaishore-guggul.html,1,1,0,0,0,1
Mahayograj Guggul,,,"A highly potent Guggulu formulation for chronic Vata disorders like arthritis, sciatica, and nerve pain.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Vatahara, Amapachana, Shoolaghna",Vata,Pitta,False,Analgesic,"A highly potent Guggulu formulation for chronic Vata disorders like arthritis, sciatica, and nerve pain.; Analgesic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/mahayograj-guggul.html,1,0,0,0,1,0
Kumaryasava,,,"A fermented tonic with Aloe Vera as its base, used for liver disorders, menstrual problems, and loss of appetite.","Tikta, Katu","Laghu, Tikshna",Ushna,Katu,"Yakrituttejaka, Deepana","Kapha, Pitta",Vata,False,"Digestive, Hepatoprotective","A fermented tonic with Aloe Vera as its base, used for liver disorders, menstrual problems, and loss of appetite.; Digestive; Hepatoprotective","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kumaryasava.html,0,1,1,1,0,0
Saraswatarishta,,,"A famous brain tonic containing Brahmi, used to improve memory, concentration, and calm the mind.","Madhura, Tikta",Laghu,Sheeta,Madhura,"Medhya, rasayan","Vata, Pitta",Kapha,False,"Neurological, Rejuvenation","A famous brain tonic containing Brahmi, used to improve memory, concentration, and calm the mind.; Neurological; Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/saraswatarishta.html,1,1,0,0,0,1
Brahmi Vati,,,"A tablet form of Brahmi and other nervine herbs, used for anxiety, insomnia, and to enhance mental function.",Tikta,Laghu,Sheeta,Madhura,"Medhya, Nidrajanana","Vata, Pitta",Kapha,False,Neurological,"A tablet form of Brahmi and other nervine herbs, used for anxiety, insomnia, and to enhance mental function.; Neurological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/brahmi-vati.html,1,1,0,0,0,1
Saptamrit Lauh,,,"An iron-based formulation specifically for eye and hair health, improving vision and preventing premature graying.","Madhura, Tikta",Laghu,Sheeta,Madhura,"Chakshushya, Keshya",Pitta,Vata,False,Ophthalmological,"An iron-based formulation specifically for eye and hair health, improving vision and preventing premature graying.; Ophthalmological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/saptamrit-lauh.html,0,1,0,1,0,0
Swarna Vasant Malti Ras,,,"A precious formulation containing gold, used as a powerful immunomodulator for chronic fevers and debility.","Madhura, Tikta",Snigdha,Sheeta,Madhura,"rasayan, Jwaraghna, Vrishya",tridosha,,True,"Anti-pyretic, Rejuvenation, Reproductive","A precious formulation containing gold, used as a powerful immunomodulator for chronic fevers and debility.; Anti-pyretic; Rejuvenation; Reproductive","Use with caution in Kapha aggravation, cold conditions, low digestive fire; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/swarna-vasant-malti-ras.html,1,1,1,0,0,0
Makaradhwaj Vati,,,"A famous aphrodisiac and rejuvenative formulation, used to enhance vitality, strength, and sexual wellness.",Madhura,Snigdha,Ushna,Madhura,"Vrishya, rasayan, Hridaya","Vata, Kapha",Pitta,False,"Cardiac, Rejuvenation, Reproductive","A famous aphrodisiac and rejuvenative formulation, used to enhance vitality, strength, and sexual wellness.; Cardiac; Rejuvenation; Reproductive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/makaradhwaj-vati.html,1,0,1,0,1,0
Brahma rasayana,,,"A powerful rejuvenative jam for the mind, enhancing memory, intelligence, and promoting longevity.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Medhya, rasayan","Vata, Pitta",Kapha,False,"Neurological, Rejuvenation","A powerful rejuvenative jam for the mind, enhancing memory, intelligence, and promoting longevity.; Neurological; Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/brahma-rasayana.html,1,1,0,0,0,1
Agastya Haritaki rasayana,,,"A classical formulation for chronic respiratory problems like asthma, bronchitis, and allergies.","Kashaya, Madhura",Guru,Ushna,Madhura,"Kasahara, Shwasahara, rasayan","Vata, Kapha",Pitta,False,"Rejuvenation, Respiratory","A classical formulation for chronic respiratory problems like asthma, bronchitis, and allergies.; Rejuvenation; Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/agastya-haritaki-rasayana.html,1,0,1,0,1,0
Anu Taila,,,"A classical medicated oil used for Nasya therapy to treat diseases of the head, neck, sinuses, and sensory organs.","Madhura, Katu",Snigdha,Ushna,Madhura,"Vatahara, Keshya, Chakshushya","Vata, Kapha",Pitta,False,Ophthalmological,"A classical medicated oil used for Nasya therapy to treat diseases of the head, neck, sinuses, and sensory organs.; Ophthalmological","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/anu-taila.html,1,0,1,0,1,0
Narayana Thailam,,,"A famous and versatile medicated oil for all types of Vata disorders, especially arthritis, paralysis, and nerve pain.","Madhura, Tikta","Guru, Snigdha",Ushna,Madhura,"Vatahara, Balya, Shoolaghna",Vata,Pitta,False,"Analgesic, Strengthening","A famous and versatile medicated oil for all types of Vata disorders, especially arthritis, paralysis, and nerve pain.; Analgesic; Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/narayana-thailam.html,1,0,0,0,1,0
Kshirabala Thailam,,,"A nourishing and cooling oil made with Bala and milk, excellent for neurological Vata disorders, insomnia, and pain.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Vatahara, rasayan, Balya","Vata, Pitta",Kapha,False,"Rejuvenation, Strengthening","A nourishing and cooling oil made with Bala and milk, excellent for neurological Vata disorders, insomnia, and pain.; Rejuvenation; Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/kshirabala-thailam.html,1,1,0,0,0,1
Dhanwantaram Thailam,,,"A versatile oil for Vata conditions, widely used pre and post-natal, for arthritis, and neurological issues.","Kashaya, Madhura","Guru, Snigdha",Ushna,Madhura,"Vatahara, Shoolaghna",Vata,Pitta,False,Analgesic,"A versatile oil for Vata conditions, widely used pre and post-natal, for arthritis, and neurological issues.; Analgesic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",/p/dhanwantaram-thailam.html,1,0,0,0,1,0
