name,latin_name,hindi_name,preview,rasa,guna,virya,vipaka,prabhava,therapeutic_uses,category,contraindications,pacify_dosha,aggravate_dosha,tridosha,source_url
Akika Pishti,,,"Processed Agate gem is a potent cardiotonic and Pitta pacifier, used for heart health and bleeding disorders.",Madhura,Ruksha,Sheeta,Madhura,"Hridaya, Raktastambhana","Cardiac; Processed Agate gem is a potent cardiotonic and Pitta pacifier, used for heart health and bleeding disorders.",Cardiac,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,"Vata, Kapha",False,/p/akika-pishti.html
Triphala Churna,,,"The classic blend of Amla, Haritaki, & Bibhitaki. A tridoshic rasayana that cleanses the colon and supports overall health.","Kashaya, Amla, Katu, Tikta, Madhura","Laghu, Ruksha",Sheeta,Madhura,"rasayan, Chakshushya, Virechana","Ophthalmological; Purgative; Rejuvenation; The classic blend of Amla, Haritaki, & Bibhitaki. A tridoshic rasayana that cleanses the colon and supports overall health.","Ophthalmological, Purgative, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; Consult an Ayurvedic practitioner before use during pregnancy or lactation",tridosha,,True,/p/triphala-churna.html
Trikatu Churna,,,"A blend of Shunthi, Pippali, and Maricha. A powerful digestive stimulant that burns ama and pacifies Kapha.",Katu,"Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Lekhana","A blend of Shunthi, Pippali, and Maricha. A powerful digestive stimulant that burns ama and pacifies Kapha.; Digestive; Metabolic","Digestive, Metabolic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/trikatu-churna.html
Sitopaladi Churna,,,"A famous formulation for respiratory issues, especially cough and cold, with a cooling and expectorant action.",Madhura,Laghu,Sheeta,Madhura,"Kasahara, Shwasahara","A famous formulation for respiratory issues, especially cough and cold, with a cooling and expectorant action.; Respiratory",Respiratory,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/sitopaladi-churna.html
Avipattikar Churna,,,"A classical remedy for hyperacidity, heartburn, and other Pitta-related digestive issues.","Tikta, Madhura",Laghu,Sheeta,Madhura,"Amlapittahara, Virechana","A classical remedy for hyperacidity, heartburn, and other Pitta-related digestive issues.; Purgative",Purgative,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,Vata,False,/p/avipattikar-churna.html
Hingvashtak Churna,,,"A premier carminative formula for Vata digestive issues like gas, bloating, and abdominal pain.","Katu, Lavana","Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Vatanulomana","A premier carminative formula for Vata digestive issues like gas, bloating, and abdominal pain.; Digestive",Digestive,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/hingvashtak-churna.html
Lavan Bhaskar Churna,,,"A salt-based digestive stimulant used for loss of appetite, indigestion, and constipation.","Lavana, Katu","Laghu, Tikshna",Ushna,Katu,"Deepana, Pachana, Virechana","A salt-based digestive stimulant used for loss of appetite, indigestion, and constipation.; Digestive; Purgative","Digestive, Purgative","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/lavan-bhaskar-churna.html
Dashamularishta,,,"A fermented tonic of ten roots (Dashamoola), used as a general health tonic, especially post-delivery and for Vata disorders.","Kashaya, Madhura",Guru,Ushna,Madhura,"Balya, Vatahara, rasayan","A fermented tonic of ten roots (Dashamoola), used as a general health tonic, especially post-delivery and for Vata disorders.; Rejuvenation; Strengthening","Rejuvenation, Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Pitta,False,/p/dashamularishta.html
Chyawanprash,,,"A famous rejuvenative jam with Amla as its base. It boosts immunity, strengthens the respiratory system, and enhances vitality.","Amla, Madhura, Kashaya","Guru, Snigdha",Ushna,Madhura,"rasayan, Balya, Kasahara","A famous rejuvenative jam with Amla as its base. It boosts immunity, strengthens the respiratory system, and enhances vitality.; Rejuvenation; Respiratory; Strengthening","Rejuvenation, Respiratory, Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/chyawanprash.html
Chandraprabha Vati,,,"A classical tablet used for a wide range of urinary, reproductive, and metabolic disorders. It is a potent detoxifier.","Tikta, Katu",Laghu,Ushna,Katu,"Pramehaghna, Mutrala, Lekhana","A classical tablet used for a wide range of urinary, reproductive, and metabolic disorders. It is a potent detoxifier.; Metabolic; Urinary","Metabolic, Urinary","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/chandraprabha-vati.html
Arogyavardhini Vati,,,"'The enhancer of good health', this tablet is a powerful liver tonic and is used for a wide range of chronic diseases.","Tikta, Kashaya","Laghu, Ruksha",Ushna,Katu,"Yakrituttejaka, Deepana, Kushtaghna","'The enhancer of good health', this tablet is a powerful liver tonic and is used for a wide range of chronic diseases.; Dermatological; Digestive; Hepatoprotective","Dermatological, Digestive, Hepatoprotective","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",tridosha,,True,/p/arogyavardhini-vati.html
Sanjivani Vati,,,"'The one that infuses life', this formulation is used to burn ama (toxins) and treat fever, cold, and digestive upsets.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Amapachana, Jwaraghna, Vishaghna","'The one that infuses life', this formulation is used to burn ama (toxins) and treat fever, cold, and digestive upsets.; Anti-pyretic; Anti-toxic","Anti-pyretic, Anti-toxic","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/sanjivani-vati.html
Gandhak rasayan,,,"A formulation of purified sulfur, it is a potent medicine for skin diseases, allergies, and blood purification.",Madhura,Snigdha,Sheeta,Madhura,"rasayan, Kushtaghna, Raktashodhak","A formulation of purified sulfur, it is a potent medicine for skin diseases, allergies, and blood purification.; Blood Purification; Dermatological; Rejuvenation","Blood Purification, Dermatological, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/gandhak-rasayan.html
Kaishore Guggul,,,"A Guggulu preparation for balancing Pitta and Vata, used for gout, arthritis, and skin diseases.","Tikta, Kashaya",Laghu,Ushna,Katu,"Raktashodhak, Vatahara, Kushtaghna","A Guggulu preparation for balancing Pitta and Vata, used for gout, arthritis, and skin diseases.; Blood Purification; Dermatological","Blood Purification, Dermatological","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Vata",Kapha,False,/p/kaishore-guggul.html
Mahayograj Guggul,,,"A highly potent Guggulu formulation for chronic Vata disorders like arthritis, sciatica, and nerve pain.","Tikta, Katu","Laghu, Ruksha",Ushna,Katu,"Vatahara, Amapachana, Shoolaghna","A highly potent Guggulu formulation for chronic Vata disorders like arthritis, sciatica, and nerve pain.; Analgesic",Analgesic,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Pitta,False,/p/mahayograj-guggul.html
Kumaryasava,,,"A fermented tonic with Aloe Vera as its base, used for liver disorders, menstrual problems, and loss of appetite.","Tikta, Katu","Laghu, Tikshna",Ushna,Katu,"Yakrituttejaka, Deepana","A fermented tonic with Aloe Vera as its base, used for liver disorders, menstrual problems, and loss of appetite.; Digestive; Hepatoprotective","Digestive, Hepatoprotective","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Pitta",Vata,False,/p/kumaryasava.html
Saraswatarishta,,,"A famous brain tonic containing Brahmi, used to improve memory, concentration, and calm the mind.","Madhura, Tikta",Laghu,Sheeta,Madhura,"Medhya, rasayan","A famous brain tonic containing Brahmi, used to improve memory, concentration, and calm the mind.; Neurological; Rejuvenation","Neurological, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/saraswatarishta.html
Brahmi Vati,,,"A tablet form of Brahmi and other nervine herbs, used for anxiety, insomnia, and to enhance mental function.",Tikta,Laghu,Sheeta,Madhura,"Medhya, Nidrajanana","A tablet form of Brahmi and other nervine herbs, used for anxiety, insomnia, and to enhance mental function.; Neurological",Neurological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/brahmi-vati.html
Saptamrit Lauh,,,"An iron-based formulation specifically for eye and hair health, improving vision and preventing premature graying.","Madhura, Tikta",Laghu,Sheeta,Madhura,"Chakshushya, Keshya","An iron-based formulation specifically for eye and hair health, improving vision and preventing premature graying.; Ophthalmological",Ophthalmological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,Vata,False,/p/saptamrit-lauh.html
Swarna Vasant Malti Ras,,,"A precious formulation containing gold, used as a powerful immunomodulator for chronic fevers and debility.","Madhura, Tikta",Snigdha,Sheeta,Madhura,"rasayan, Jwaraghna, Vrishya","A precious formulation containing gold, used as a powerful immunomodulator for chronic fevers and debility.; Anti-pyretic; Rejuvenation; Reproductive","Anti-pyretic, Rejuvenation, Reproductive","Use with caution in Kapha aggravation, cold conditions, low digestive fire; Consult an Ayurvedic practitioner before use during pregnancy or lactation",tridosha,,True,/p/swarna-vasant-malti-ras.html
Makaradhwaj Vati,,,"A famous aphrodisiac and rejuvenative formulation, used to enhance vitality, strength, and sexual wellness.",Madhura,Snigdha,Ushna,Madhura,"Vrishya, rasayan, Hridaya","A famous aphrodisiac and rejuvenative formulation, used to enhance vitality, strength, and sexual wellness.; Cardiac; Rejuvenation; Reproductive","Cardiac, Rejuvenation, Reproductive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/makaradhwaj-vati.html
Brahma rasayana,,,"A powerful rejuvenative jam for the mind, enhancing memory, intelligence, and promoting longevity.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Medhya, rasayan","A powerful rejuvenative jam for the mind, enhancing memory, intelligence, and promoting longevity.; Neurological; Rejuvenation","Neurological, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/brahma-rasayana.html
Agastya Haritaki rasayana,,,"A classical formulation for chronic respiratory problems like asthma, bronchitis, and allergies.","Kashaya, Madhura",Guru,Ushna,Madhura,"Kasahara, Shwasahara, rasayan","A classical formulation for chronic respiratory problems like asthma, bronchitis, and allergies.; Rejuvenation; Respiratory","Rejuvenation, Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/agastya-haritaki-rasayana.html
Anu Taila,,,"A classical medicated oil used for Nasya therapy to treat diseases of the head, neck, sinuses, and sensory organs.","Madhura, Katu",Snigdha,Ushna,Madhura,"Vatahara, Keshya, Chakshushya","A classical medicated oil used for Nasya therapy to treat diseases of the head, neck, sinuses, and sensory organs.; Ophthalmological",Ophthalmological,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/anu-taila.html
Narayana Thailam,,,"A famous and versatile medicated oil for all types of Vata disorders, especially arthritis, paralysis, and nerve pain.","Madhura, Tikta","Guru, Snigdha",Ushna,Madhura,"Vatahara, Balya, Shoolaghna","A famous and versatile medicated oil for all types of Vata disorders, especially arthritis, paralysis, and nerve pain.; Analgesic; Strengthening","Analgesic, Strengthening","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Pitta,False,/p/narayana-thailam.html
Kshirabala Thailam,,,"A nourishing and cooling oil made with Bala and milk, excellent for neurological Vata disorders, insomnia, and pain.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Vatahara, rasayan, Balya","A nourishing and cooling oil made with Bala and milk, excellent for neurological Vata disorders, insomnia, and pain.; Rejuvenation; Strengthening","Rejuvenation, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/kshirabala-thailam.html
Dhanwantaram Thailam,,,"A versatile oil for Vata conditions, widely used pre and post-natal, for arthritis, and neurological issues.","Kashaya, Madhura","Guru, Snigdha",Ushna,Madhura,"Vatahara, Shoolaghna","A versatile oil for Vata conditions, widely used pre and post-natal, for arthritis, and neurological issues.; Analgesic",Analgesic,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Pitta,False,/p/dhanwantaram-thailam.html
Kumkumadi Thailam,,,"A renowned facial oil made with Saffron and other herbs to improve complexion, reduce blemishes, and add glow.","Madhura, Tikta",Snigdha,Sheeta,Madhura,"Varnya, Kushtaghna","A renowned facial oil made with Saffron and other herbs to improve complexion, reduce blemishes, and add glow.; Dermatological",Dermatological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Vata",Kapha,False,/p/kumkumadi-thailam.html
Neelibringadi Thailam,,,"A famous herbal hair oil for promoting hair growth, preventing hair fall, and delaying premature graying.","Tikta, Kashaya",Snigdha,Sheeta,Katu,"Keshya, Chakshushya","A famous herbal hair oil for promoting hair growth, preventing hair fall, and delaying premature graying.; Ophthalmological",Ophthalmological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,"Vata, Kapha",False,/p/neelibringadi-thailam.html
Murivenna,,,"'Wound Oil', this is a famous first-aid remedy for cuts, burns, sprains, and fractures.",Tikta,Snigdha,Sheeta,Katu,"Vranaropana, Sandhanakaraka","'Wound Oil', this is a famous first-aid remedy for cuts, burns, sprains, and fractures.",General Wellness,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/murivenna.html
Pinda Thailam,,,A cooling oil used topically to relieve the pain and burning sensation of gout and Pitta-type arthritis.,Madhura,Snigdha,Sheeta,Madhura,"Dahashamana, Vatahara",A cooling oil used topically to relieve the pain and burning sensation of gout and Pitta-type arthritis.,General Wellness,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Pitta,"Vata, Kapha",False,/p/pinda-thailam.html
Sahacharadi Thailam,,,"A medicated oil primarily used for Vata disorders affecting the lower limbs, like sciatica and varicose veins.","Tikta, Kashaya",Snigdha,Ushna,Katu,"Vatahara, Shoolaghna","A medicated oil primarily used for Vata disorders affecting the lower limbs, like sciatica and varicose veins.; Analgesic",Analgesic,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Pitta,False,/p/sahacharadi-thailam.html
Eladi Thailam,,,"An aromatic oil used for skin detoxification and improving complexion, especially for Kapha and Vata skin types.","Madhura, Katu",Laghu,Sheeta,Madhura,"Varnya, Kushtaghna","An aromatic oil used for skin detoxification and improving complexion, especially for Kapha and Vata skin types.; Dermatological",Dermatological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Kapha, Vata",Pitta,False,/p/eladi-thailam.html
Brahmi Ghritam,,,"Medicated ghee with Brahmi, a powerful brain tonic for improving memory, intelligence, and speech.","Tikta, Madhura","Guru, Snigdha",Sheeta,Madhura,"Medhya, rasayan","Medicated ghee with Brahmi, a powerful brain tonic for improving memory, intelligence, and speech.; Neurological; Rejuvenation","Neurological, Rejuvenation","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/brahmi-ghritam.html
Talisadi Churna,,,"A formulation similar to Sitopaladi but more heating, used for cough, cold, and digestive issues.","Katu, Madhura",Laghu,Ushna,Madhura,"Kasahara, Deepana","A formulation similar to Sitopaladi but more heating, used for cough, cold, and digestive issues.; Digestive; Respiratory","Digestive, Respiratory","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/talisadi-churna.html
Draksharishta,,,"A fermented tonic of grapes, used for respiratory and digestive issues, and as a general strength-promoter.","Madhura, Kashaya",Guru,Sheeta,Madhura,"Kasahara, Balya, Deepana","A fermented tonic of grapes, used for respiratory and digestive issues, and as a general strength-promoter.; Digestive; Respiratory; Strengthening","Digestive, Respiratory, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Pitta,False,/p/draksharishta.html
Pippalyasava,,,"A fermented tonic with Pippali, used for malabsorption, digestive issues, and respiratory ailments.",Katu,"Laghu, Tikshna",Ushna,Madhura,"Deepana, Pachana, Grahi","A fermented tonic with Pippali, used for malabsorption, digestive issues, and respiratory ailments.; Digestive",Digestive,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/pippalyasava.html
Aravindasava,,,"A classical pediatric tonic made with Lotus, used for improving digestion, strength, and immunity in children.","Madhura, Kashaya",Laghu,Sheeta,Madhura,"Balya, Deepana, Pachana","A classical pediatric tonic made with Lotus, used for improving digestion, strength, and immunity in children.; Digestive; Strengthening","Digestive, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; Consult an Ayurvedic practitioner before use during pregnancy or lactation",tridosha,,True,/p/aravindasava.html
Pradarantak Lauh,,,An iron-based formulation specifically used for treating excessive menstrual bleeding (menorrhagia).,Kashaya,Guru,Sheeta,Katu,"Raktastambhana, Vatahara",An iron-based formulation specifically used for treating excessive menstrual bleeding (menorrhagia).,General Wellness,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Vata",Kapha,False,/p/pradarantak-lauh.html
Hinguleshwar Ras,,,"A herbo-mineral formulation containing purified Cinnabar, used for fever and Vata disorders.",Tikta,Laghu,Ushna,Katu,"Jwaraghna, Vatahara","A herbo-mineral formulation containing purified Cinnabar, used for fever and Vata disorders.; Anti-pyretic",Anti-pyretic,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/hinguleshwar-ras.html
Kottamchukkadi Thailam,,,"A South Indian medicated oil for external use on painful joints, inflammation, and stiffness due to Vata.","Katu, Tikta","Snigdha, Tikshna",Ushna,Katu,"Vatahara, Shoolaghna","A South Indian medicated oil for external use on painful joints, inflammation, and stiffness due to Vata.; Analgesic",Analgesic,"Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/kottamchukkadi-thailam.html
Lakshadi Thailam,,,"A nourishing and strengthening massage oil, especially recommended for babies, children, and convalescing adults.",Madhura,"Guru, Snigdha",Sheeta,Madhura,"Balya, Brimhaniya","A nourishing and strengthening massage oil, especially recommended for babies, children, and convalescing adults.; Nutritive; Strengthening","Nutritive, Strengthening","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/lakshadi-thailam.html
Triphaladi Thailam,,,"An oil infused with Triphala, used for head massage to treat headache, hair fall, and diseases of the eyes, ears, and throat.",Kashaya,Snigdha,Sheeta,Madhura,"Keshya, Chakshushya","An oil infused with Triphala, used for head massage to treat headache, hair fall, and diseases of the eyes, ears, and throat.; Ophthalmological",Ophthalmological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/triphaladi-thailam.html
Himasagara Thailam,,,"A highly cooling massage oil used for Pitta and Vata disorders, especially those with burning sensation and pain.","Madhura, Tikta","Snigdha, Guru",Sheeta,Madhura,"Dahashamana, Vatahara","A highly cooling massage oil used for Pitta and Vata disorders, especially those with burning sensation and pain.",General Wellness,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Vata",Kapha,False,/p/himasagara-thailam.html
Sphatika Bhasma,,,"Purified Alum ash is a powerful astringent and hemostatic, used for bleeding disorders and as an antiseptic.","Kashaya, Amla",Ruksha,Sheeta,Katu,"Raktastambhana, Kushtaghna","Dermatological; Purified Alum ash is a powerful astringent and hemostatic, used for bleeding disorders and as an antiseptic.",Dermatological,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/sphatika-bhasma.html
Samudra Lavana,,,"Common Sea Salt is heating and heavy, used as a digestive aid and laxative, but aggravates Pitta.",Lavana,"Guru, Snigdha",Ushna,Madhura,"Deepana, Virechana","Common Sea Salt is heating and heavy, used as a digestive aid and laxative, but aggravates Pitta.; Digestive; Purgative","Digestive, Purgative","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,"Pitta, Kapha",False,/p/samudra-lavana.html
Vida Lavana,,,"A type of Black Salt, it is light and heating, used to stimulate digestion and relieve bloating without causing water retention.","Lavana, Katu","Laghu, Tikshna",Ushna,Katu,"Deepana, Hridaya","A type of Black Salt, it is light and heating, used to stimulate digestion and relieve bloating without causing water retention.; Cardiac; Digestive","Cardiac, Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation",Vata,Pitta,False,/p/vida-lavana.html
Gorochana,,,Cow bezoar is a rare substance used as a nervine tonic and for treating fevers and poisoning.,Tikta,Laghu,Sheeta,Katu,"Medhya, Vishaghna, Jwaraghna",Anti-pyretic; Anti-toxic; Cow bezoar is a rare substance used as a nervine tonic and for treating fevers and poisoning.; Neurological,"Anti-pyretic, Anti-toxic, Neurological","Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Vata dosha; avoid in dry skin, constipation, anxiety conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Pitta, Kapha",Vata,False,/p/gorochana.html
Shukti Bhasma,,,"Oyster shell ash is a natural calcium source used for hyperacidity, ulcers, and digestive issues.",Katu,"Laghu, Ruksha",Sheeta,Madhura,"Amlapittahara, Shoolaghna","Analgesic; Oyster shell ash is a natural calcium source used for hyperacidity, ulcers, and digestive issues.",Analgesic,"Use with caution in Kapha aggravation, cold conditions, low digestive fire; May aggravate Kapha dosha; avoid in congestion, obesity, lethargy conditions; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Pitta",Kapha,False,/p/shukti-bhasma.html
Varatika Bhasma,,,"Cowrie shell ash is an excellent antacid and digestive, used for colic, malabsorption, and bloating.",Katu,"Laghu, Tikshna",Ushna,Madhura,"Deepana, Pachana, Shoolaghna","Analgesic; Cowrie shell ash is an excellent antacid and digestive, used for colic, malabsorption, and bloating.; Digestive","Analgesic, Digestive","Use with caution in Pitta aggravation, high acidity, inflammatory conditions; May aggravate Pitta dosha; avoid in burning sensation, ulcers, bleeding disorders; Consult an Ayurvedic practitioner before use during pregnancy or lactation","Vata, Kapha",Pitta,False,/p/varatika-bhasma.html
