Food_Item,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Water_Intake (ml)
Turkey Burger (1 patty),160.0,22.0,2.0,8.0,0.0,1.0,400.0,70.0,250.0
Turkey Chili (1 cup),250.0,22.0,25.0,7.0,8.0,6.0,750.0,50.0,250.0
Turkey Sandwich (on wheat),340.0,22.0,34.0,12.0,5.0,6.0,850.0,50.0,500.0
Turkey Sausage (1 patty),70.0,9.0,1.0,4.0,0.0,0.5,280.0,35.0,0.0
Turkish Coffee (1 small cup),5.0,0.2,0.5,0.0,0.0,0.0,1.0,0.0,60.0
Turmeric (1 tsp),9.0,0.3,1.9,0.1,0.7,0.1,1.0,0.0,0.0
Tzatziki Sauce (2 tbsp),30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,0.0
Veal Parmesan (1 serving),550.0,40.0,30.0,30.0,4.0,7.0,1100.0,130.0,250.0
Vegetable Broth (1 cup),15.0,1.0,3.0,0.0,1.0,2.0,550.0,0.0,240.0
Vegetable Soup (1 can),140.0,4.0,22.0,4.0,6.0,8.0,780.0,5.0,250.0
Veggie Burger (1 patty),120.0,11.0,10.0,4.0,5.0,1.0,350.0,0.0,250.0
Veggie Straws (1 oz),130.0,1.0,17.0,7.0,1.0,1.0,220.0,0.0,0.0
Vitello Tonnato (1 serving),380.0,35.0,3.0,25.0,0.5,1.0,600.0,110.0,0.0
Vodka (1.5 oz),97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vodka Soda (1 drink),100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,180.0
Waffle Cone (1 small),70.0,1.0,13.0,1.5,0.5,7.0,30.0,5.0,0.0
Waffles (2 homemade),220.0,6.0,28.0,9.0,1.5,3.0,420.0,45.0,0.0
Walnuts (1 tbsp chopped),46.0,1.1,1.0,4.6,0.5,0.2,0.0,0.0,0.0
Wasabi (1 tsp),10.0,0.1,2.2,0.1,0.3,1.0,40.0,0.0,0.0
Water Cracker (5 crackers),70.0,1.5,12.0,1.5,0.5,0.0,150.0,0.0,0.0
Watermelon (1 cup diced),46.0,0.9,11.5,0.2,0.6,9.4,2.0,0.0,0.0
Whiskey (1.5 oz shot),105.0,0.0,0.1,0.0,0.0,0.1,1.0,0.0,0.0
White Beans (Tuscan style 1/2 cup),150.0,8.0,20.0,4.0,7.0,2.0,350.0,0.0,0.0
White Bread (1 slice),70.0,2.0,13.0,1.0,0.6,1.2,140.0,0.0,0.0
White Rice (1 cup cooked),204.0,4.2,44.5,0.4,0.6,0.1,2.0,0.0,0.0
White Wine (5 oz glass),121.0,0.1,3.8,0.0,0.0,1.4,5.0,0.0,0.0
White Wine Sauce (1/4 cup),80.0,1.0,4.0,6.0,0.5,2.0,300.0,5.0,0.0
Whole Wheat Toast (1 slice),80.0,4.0,14.0,1.0,2.0,2.0,140.0,0.0,0.0
Wild Rice (1 cup cooked),166.0,6.5,35.0,0.6,3.0,1.2,5.0,0.0,0.0
Yellow Rice (1 cup),230.0,4.0,50.0,1.0,2.0,1.0,300.0,0.0,0.0
Za'atar (1 tbsp),40.0,1.0,3.0,3.0,1.5,0.0,150.0,0.0,0.0
